filename,condition,payload,repetition,oversample,output_seconds,fs_out
i2s_jitter__payload-near_silence__rep-5__os-8.wav,jitter,near_silence,5,8,2.0,48000
i2s_jitter__payload-near_silence__rep-5__os-10.wav,jitter,near_silence,5,10,2.0,48000
i2s_jitter__payload-sine__rep-1__os-2.wav,jitter,sine,1,2,2.0,48000
i2s_jitter__payload-sine__rep-1__os-4.wav,jitter,sine,1,4,2.0,48000
i2s_jitter__payload-sine__rep-1__os-6.wav,jitter,sine,1,6,2.0,48000
i2s_jitter__payload-sine__rep-1__os-8.wav,jitter,sine,1,8,2.0,48000
i2s_jitter__payload-sine__rep-1__os-10.wav,jitter,sine,1,10,2.0,48000
i2s_jitter__payload-sine__rep-2__os-2.wav,jitter,sine,2,2,2.0,48000
i2s_jitter__payload-sine__rep-2__os-4.wav,jitter,sine,2,4,2.0,48000
i2s_jitter__payload-sine__rep-2__os-6.wav,jitter,sine,2,6,2.0,48000
i2s_jitter__payload-sine__rep-2__os-8.wav,jitter,sine,2,8,2.0,48000
i2s_jitter__payload-sine__rep-2__os-10.wav,jitter,sine,2,10,2.0,48000
i2s_jitter__payload-sine__rep-3__os-2.wav,jitter,sine,3,2,2.0,48000
i2s_jitter__payload-sine__rep-3__os-4.wav,jitter,sine,3,4,2.0,48000
i2s_jitter__payload-sine__rep-3__os-6.wav,jitter,sine,3,6,2.0,48000
i2s_jitter__payload-sine__rep-3__os-8.wav,jitter,sine,3,8,2.0,48000
i2s_jitter__payload-sine__rep-3__os-10.wav,jitter,sine,3,10,2.0,48000
i2s_jitter__payload-sine__rep-4__os-2.wav,jitter,sine,4,2,2.0,48000
i2s_jitter__payload-sine__rep-4__os-4.wav,jitter,sine,4,4,2.0,48000
i2s_jitter__payload-sine__rep-4__os-6.wav,jitter,sine,4,6,2.0,48000
i2s_jitter__payload-sine__rep-4__os-8.wav,jitter,sine,4,8,2.0,48000
i2s_jitter__payload-sine__rep-4__os-10.wav,jitter,sine,4,10,2.0,48000
i2s_jitter__payload-sine__rep-5__os-2.wav,jitter,sine,5,2,2.0,48000
i2s_jitter__payload-sine__rep-5__os-4.wav,jitter,sine,5,4,2.0,48000
i2s_jitter__payload-sine__rep-5__os-6.wav,jitter,sine,5,6,2.0,48000
i2s_jitter__payload-sine__rep-5__os-8.wav,jitter,sine,5,8,2.0,48000
i2s_jitter__payload-sine__rep-5__os-10.wav,jitter,sine,5,10,2.0,48000
i2s_jitter__payload-noise__rep-1__os-2.wav,jitter,noise,1,2,2.0,48000
i2s_jitter__payload-noise__rep-1__os-4.wav,jitter,noise,1,4,2.0,48000
i2s_jitter__payload-noise__rep-1__os-6.wav,jitter,noise,1,6,2.0,48000
i2s_jitter__payload-noise__rep-1__os-8.wav,jitter,noise,1,8,2.0,48000
i2s_jitter__payload-noise__rep-1__os-10.wav,jitter,noise,1,10,2.0,48000
i2s_jitter__payload-noise__rep-2__os-2.wav,jitter,noise,2,2,2.0,48000
i2s_jitter__payload-noise__rep-2__os-4.wav,jitter,noise,2,4,2.0,48000
i2s_jitter__payload-noise__rep-2__os-6.wav,jitter,noise,2,6,2.0,48000
i2s_jitter__payload-noise__rep-2__os-8.wav,jitter,noise,2,8,2.0,48000
i2s_jitter__payload-noise__rep-2__os-10.wav,jitter,noise,2,10,2.0,48000
i2s_jitter__payload-noise__rep-3__os-2.wav,jitter,noise,3,2,2.0,48000
i2s_jitter__payload-noise__rep-3__os-4.wav,jitter,noise,3,4,2.0,48000
i2s_jitter__payload-noise__rep-3__os-6.wav,jitter,noise,3,6,2.0,48000
i2s_jitter__payload-noise__rep-3__os-8.wav,jitter,noise,3,8,2.0,48000
i2s_jitter__payload-noise__rep-3__os-10.wav,jitter,noise,3,10,2.0,48000
i2s_jitter__payload-noise__rep-4__os-2.wav,jitter,noise,4,2,2.0,48000
i2s_jitter__payload-noise__rep-4__os-4.wav,jitter,noise,4,4,2.0,48000
i2s_jitter__payload-noise__rep-4__os-6.wav,jitter,noise,4,6,2.0,48000
i2s_jitter__payload-noise__rep-4__os-8.wav,jitter,noise,4,8,2.0,48000
i2s_jitter__payload-noise__rep-4__os-10.wav,jitter,noise,4,10,2.0,48000
i2s_jitter__payload-noise__rep-5__os-2.wav,jitter,noise,5,2,2.0,48000
i2s_jitter__payload-noise__rep-5__os-4.wav,jitter,noise,5,4,2.0,48000
i2s_jitter__payload-noise__rep-5__os-6.wav,jitter,noise,5,6,2.0,48000
i2s_jitter__payload-noise__rep-5__os-8.wav,jitter,noise,5,8,2.0,48000
i2s_jitter__payload-noise__rep-5__os-10.wav,jitter,noise,5,10,2.0,48000
i2s_bit_slip__payload-near_silence__rep-1__os-2.wav,bit_slip,near_silence,1,2,2.0,48000
i2s_bit_slip__payload-near_silence__rep-1__os-4.wav,bit_slip,near_silence,1,4,2.0,48000
i2s_bit_slip__payload-near_silence__rep-1__os-6.wav,bit_slip,near_silence,1,6,2.0,48000
i2s_bit_slip__payload-near_silence__rep-1__os-8.wav,bit_slip,near_silence,1,8,2.0,48000
i2s_bit_slip__payload-near_silence__rep-1__os-10.wav,bit_slip,near_silence,1,10,2.0,48000
i2s_bit_slip__payload-near_silence__rep-2__os-2.wav,bit_slip,near_silence,2,2,2.0,48000
i2s_bit_slip__payload-near_silence__rep-2__os-4.wav,bit_slip,near_silence,2,4,2.0,48000
i2s_bit_slip__payload-near_silence__rep-2__os-6.wav,bit_slip,near_silence,2,6,2.0,48000
i2s_bit_slip__payload-near_silence__rep-2__os-8.wav,bit_slip,near_silence,2,8,2.0,48000
i2s_bit_slip__payload-near_silence__rep-2__os-10.wav,bit_slip,near_silence,2,10,2.0,48000
i2s_bit_slip__payload-near_silence__rep-3__os-2.wav,bit_slip,near_silence,3,2,2.0,48000
i2s_bit_slip__payload-near_silence__rep-3__os-4.wav,bit_slip,near_silence,3,4,2.0,48000
i2s_bit_slip__payload-near_silence__rep-3__os-6.wav,bit_slip,near_silence,3,6,2.0,48000
i2s_bit_slip__payload-near_silence__rep-3__os-8.wav,bit_slip,near_silence,3,8,2.0,48000
i2s_bit_slip__payload-near_silence__rep-3__os-10.wav,bit_slip,near_silence,3,10,2.0,48000
i2s_bit_slip__payload-near_silence__rep-4__os-2.wav,bit_slip,near_silence,4,2,2.0,48000
i2s_bit_slip__payload-near_silence__rep-4__os-4.wav,bit_slip,near_silence,4,4,2.0,48000
i2s_bit_slip__payload-near_silence__rep-4__os-6.wav,bit_slip,near_silence,4,6,2.0,48000
i2s_bit_slip__payload-near_silence__rep-4__os-8.wav,bit_slip,near_silence,4,8,2.0,48000
i2s_bit_slip__payload-near_silence__rep-4__os-10.wav,bit_slip,near_silence,4,10,2.0,48000
i2s_bit_slip__payload-near_silence__rep-5__os-2.wav,bit_slip,near_silence,5,2,2.0,48000
i2s_bit_slip__payload-near_silence__rep-5__os-4.wav,bit_slip,near_silence,5,4,2.0,48000
i2s_bit_slip__payload-near_silence__rep-5__os-6.wav,bit_slip,near_silence,5,6,2.0,48000
i2s_bit_slip__payload-near_silence__rep-5__os-8.wav,bit_slip,near_silence,5,8,2.0,48000
i2s_bit_slip__payload-near_silence__rep-5__os-10.wav,bit_slip,near_silence,5,10,2.0,48000
i2s_bit_slip__payload-sine__rep-1__os-2.wav,bit_slip,sine,1,2,2.0,48000
i2s_bit_slip__payload-sine__rep-1__os-4.wav,bit_slip,sine,1,4,2.0,48000
i2s_bit_slip__payload-sine__rep-1__os-6.wav,bit_slip,sine,1,6,2.0,48000
i2s_bit_slip__payload-sine__rep-1__os-8.wav,bit_slip,sine,1,8,2.0,48000
i2s_bit_slip__payload-sine__rep-1__os-10.wav,bit_slip,sine,1,10,2.0,48000
i2s_bit_slip__payload-sine__rep-2__os-2.wav,bit_slip,sine,2,2,2.0,48000
i2s_bit_slip__payload-sine__rep-2__os-4.wav,bit_slip,sine,2,4,2.0,48000
i2s_bit_slip__payload-sine__rep-2__os-6.wav,bit_slip,sine,2,6,2.0,48000
i2s_bit_slip__payload-sine__rep-2__os-8.wav,bit_slip,sine,2,8,2.0,48000
i2s_bit_slip__payload-sine__rep-2__os-10.wav,bit_slip,sine,2,10,2.0,48000
i2s_bit_slip__payload-sine__rep-3__os-2.wav,bit_slip,sine,3,2,2.0,48000
i2s_bit_slip__payload-sine__rep-3__os-4.wav,bit_slip,sine,3,4,2.0,48000
i2s_bit_slip__payload-sine__rep-3__os-6.wav,bit_slip,sine,3,6,2.0,48000
i2s_bit_slip__payload-sine__rep-3__os-8.wav,bit_slip,sine,3,8,2.0,48000
i2s_bit_slip__payload-sine__rep-3__os-10.wav,bit_slip,sine,3,10,2.0,48000
i2s_bit_slip__payload-sine__rep-4__os-2.wav,bit_slip,sine,4,2,2.0,48000
i2s_bit_slip__payload-sine__rep-4__os-4.wav,bit_slip,sine,4,4,2.0,48000
i2s_bit_slip__payload-sine__rep-4__os-6.wav,bit_slip,sine,4,6,2.0,48000
i2s_bit_slip__payload-sine__rep-4__os-8.wav,bit_slip,sine,4,8,2.0,48000
i2s_bit_slip__payload-sine__rep-4__os-10.wav,bit_slip,sine,4,10,2.0,48000
i2s_bit_slip__payload-sine__rep-5__os-2.wav,bit_slip,sine,5,2,2.0,48000
i2s_bit_slip__payload-sine__rep-5__os-4.wav,bit_slip,sine,5,4,2.0,48000
i2s_bit_slip__payload-sine__rep-5__os-6.wav,bit_slip,sine,5,6,2.0,48000
i2s_bit_slip__payload-sine__rep-5__os-8.wav,bit_slip,sine,5,8,2.0,48000
i2s_bit_slip__payload-sine__rep-5__os-10.wav,bit_slip,sine,5,10,2.0,48000
i2s_bit_slip__payload-noise__rep-1__os-2.wav,bit_slip,noise,1,2,2.0,48000
i2s_bit_slip__payload-noise__rep-1__os-4.wav,bit_slip,noise,1,4,2.0,48000
i2s_bit_slip__payload-noise__rep-1__os-6.wav,bit_slip,noise,1,6,2.0,48000
i2s_bit_slip__payload-noise__rep-1__os-8.wav,bit_slip,noise,1,8,2.0,48000
i2s_bit_slip__payload-noise__rep-1__os-10.wav,bit_slip,noise,1,10,2.0,48000
i2s_bit_slip__payload-noise__rep-2__os-2.wav,bit_slip,noise,2,2,2.0,48000
i2s_bit_slip__payload-noise__rep-2__os-4.wav,bit_slip,noise,2,4,2.0,48000
i2s_bit_slip__payload-noise__rep-2__os-6.wav,bit_slip,noise,2,6,2.0,48000
i2s_bit_slip__payload-noise__rep-2__os-8.wav,bit_slip,noise,2,8,2.0,48000
i2s_bit_slip__payload-noise__rep-2__os-10.wav,bit_slip,noise,2,10,2.0,48000
i2s_bit_slip__payload-noise__rep-3__os-2.wav,bit_slip,noise,3,2,2.0,48000
i2s_bit_slip__payload-noise__rep-3__os-4.wav,bit_slip,noise,3,4,2.0,48000
i2s_bit_slip__payload-noise__rep-3__os-6.wav,bit_slip,noise,3,6,2.0,48000
i2s_bit_slip__payload-noise__rep-3__os-8.wav,bit_slip,noise,3,8,2.0,48000
i2s_bit_slip__payload-noise__rep-3__os-10.wav,bit_slip,noise,3,10,2.0,48000
i2s_bit_slip__payload-noise__rep-4__os-2.wav,bit_slip,noise,4,2,2.0,48000
i2s_bit_slip__payload-noise__rep-4__os-4.wav,bit_slip,noise,4,4,2.0,48000
i2s_bit_slip__payload-noise__rep-4__os-6.wav,bit_slip,noise,4,6,2.0,48000
i2s_bit_slip__payload-noise__rep-4__os-8.wav,bit_slip,noise,4,8,2.0,48000
i2s_bit_slip__payload-noise__rep-4__os-10.wav,bit_slip,noise,4,10,2.0,48000
i2s_bit_slip__payload-noise__rep-5__os-2.wav,bit_slip,noise,5,2,2.0,48000
i2s_bit_slip__payload-noise__rep-5__os-4.wav,bit_slip,noise,5,4,2.0,48000
i2s_bit_slip__payload-noise__rep-5__os-6.wav,bit_slip,noise,5,6,2.0,48000
i2s_bit_slip__payload-noise__rep-5__os-8.wav,bit_slip,noise,5,8,2.0,48000
i2s_bit_slip__payload-noise__rep-5__os-10.wav,bit_slip,noise,5,10,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-1__os-2.wav,wrong_word_length,near_silence,1,2,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-1__os-4.wav,wrong_word_length,near_silence,1,4,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-1__os-6.wav,wrong_word_length,near_silence,1,6,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-1__os-8.wav,wrong_word_length,near_silence,1,8,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-1__os-10.wav,wrong_word_length,near_silence,1,10,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-2__os-2.wav,wrong_word_length,near_silence,2,2,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-2__os-4.wav,wrong_word_length,near_silence,2,4,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-2__os-6.wav,wrong_word_length,near_silence,2,6,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-2__os-8.wav,wrong_word_length,near_silence,2,8,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-2__os-10.wav,wrong_word_length,near_silence,2,10,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-3__os-2.wav,wrong_word_length,near_silence,3,2,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-3__os-4.wav,wrong_word_length,near_silence,3,4,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-3__os-6.wav,wrong_word_length,near_silence,3,6,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-3__os-8.wav,wrong_word_length,near_silence,3,8,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-3__os-10.wav,wrong_word_length,near_silence,3,10,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-4__os-2.wav,wrong_word_length,near_silence,4,2,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-4__os-4.wav,wrong_word_length,near_silence,4,4,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-4__os-6.wav,wrong_word_length,near_silence,4,6,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-4__os-8.wav,wrong_word_length,near_silence,4,8,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-4__os-10.wav,wrong_word_length,near_silence,4,10,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-5__os-2.wav,wrong_word_length,near_silence,5,2,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-5__os-4.wav,wrong_word_length,near_silence,5,4,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-5__os-6.wav,wrong_word_length,near_silence,5,6,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-5__os-8.wav,wrong_word_length,near_silence,5,8,2.0,48000
i2s_wrong_word_length__payload-near_silence__rep-5__os-10.wav,wrong_word_length,near_silence,5,10,2.0,48000
i2s_wrong_word_length__payload-sine__rep-1__os-2.wav,wrong_word_length,sine,1,2,2.0,48000
i2s_wrong_word_length__payload-sine__rep-1__os-4.wav,wrong_word_length,sine,1,4,2.0,48000
i2s_wrong_word_length__payload-sine__rep-1__os-6.wav,wrong_word_length,sine,1,6,2.0,48000
i2s_wrong_word_length__payload-sine__rep-1__os-8.wav,wrong_word_length,sine,1,8,2.0,48000
i2s_wrong_word_length__payload-sine__rep-1__os-10.wav,wrong_word_length,sine,1,10,2.0,48000
i2s_wrong_word_length__payload-sine__rep-2__os-2.wav,wrong_word_length,sine,2,2,2.0,48000
i2s_wrong_word_length__payload-sine__rep-2__os-4.wav,wrong_word_length,sine,2,4,2.0,48000
i2s_wrong_word_length__payload-sine__rep-2__os-6.wav,wrong_word_length,sine,2,6,2.0,48000
i2s_wrong_word_length__payload-sine__rep-2__os-8.wav,wrong_word_length,sine,2,8,2.0,48000
i2s_wrong_word_length__payload-sine__rep-2__os-10.wav,wrong_word_length,sine,2,10,2.0,48000
i2s_wrong_word_length__payload-sine__rep-3__os-2.wav,wrong_word_length,sine,3,2,2.0,48000
i2s_wrong_word_length__payload-sine__rep-3__os-4.wav,wrong_word_length,sine,3,4,2.0,48000
i2s_wrong_word_length__payload-sine__rep-3__os-6.wav,wrong_word_length,sine,3,6,2.0,48000
i2s_wrong_word_length__payload-sine__rep-3__os-8.wav,wrong_word_length,sine,3,8,2.0,48000
i2s_wrong_word_length__payload-sine__rep-3__os-10.wav,wrong_word_length,sine,3,10,2.0,48000
i2s_wrong_word_length__payload-sine__rep-4__os-2.wav,wrong_word_length,sine,4,2,2.0,48000
i2s_wrong_word_length__payload-sine__rep-4__os-4.wav,wrong_word_length,sine,4,4,2.0,48000
i2s_wrong_word_length__payload-sine__rep-4__os-6.wav,wrong_word_length,sine,4,6,2.0,48000
i2s_wrong_word_length__payload-sine__rep-4__os-8.wav,wrong_word_length,sine,4,8,2.0,48000
i2s_wrong_word_length__payload-sine__rep-4__os-10.wav,wrong_word_length,sine,4,10,2.0,48000
i2s_wrong_word_length__payload-sine__rep-5__os-2.wav,wrong_word_length,sine,5,2,2.0,48000
i2s_wrong_word_length__payload-sine__rep-5__os-4.wav,wrong_word_length,sine,5,4,2.0,48000
i2s_wrong_word_length__payload-sine__rep-5__os-6.wav,wrong_word_length,sine,5,6,2.0,48000
i2s_wrong_word_length__payload-sine__rep-5__os-8.wav,wrong_word_length,sine,5,8,2.0,48000
i2s_wrong_word_length__payload-sine__rep-5__os-10.wav,wrong_word_length,sine,5,10,2.0,48000
i2s_wrong_word_length__payload-noise__rep-1__os-2.wav,wrong_word_length,noise,1,2,2.0,48000
i2s_wrong_word_length__payload-noise__rep-1__os-4.wav,wrong_word_length,noise,1,4,2.0,48000
i2s_wrong_word_length__payload-noise__rep-1__os-6.wav,wrong_word_length,noise,1,6,2.0,48000
i2s_wrong_word_length__payload-noise__rep-1__os-8.wav,wrong_word_length,noise,1,8,2.0,48000
i2s_wrong_word_length__payload-noise__rep-1__os-10.wav,wrong_word_length,noise,1,10,2.0,48000
i2s_wrong_word_length__payload-noise__rep-2__os-2.wav,wrong_word_length,noise,2,2,2.0,48000
i2s_wrong_word_length__payload-noise__rep-2__os-4.wav,wrong_word_length,noise,2,4,2.0,48000
i2s_wrong_word_length__payload-noise__rep-2__os-6.wav,wrong_word_length,noise,2,6,2.0,48000
i2s_wrong_word_length__payload-noise__rep-2__os-8.wav,wrong_word_length,noise,2,8,2.0,48000
i2s_wrong_word_length__payload-noise__rep-2__os-10.wav,wrong_word_length,noise,2,10,2.0,48000
i2s_wrong_word_length__payload-noise__rep-3__os-2.wav,wrong_word_length,noise,3,2,2.0,48000
i2s_wrong_word_length__payload-noise__rep-3__os-4.wav,wrong_word_length,noise,3,4,2.0,48000
i2s_wrong_word_length__payload-noise__rep-3__os-6.wav,wrong_word_length,noise,3,6,2.0,48000
i2s_wrong_word_length__payload-noise__rep-3__os-8.wav,wrong_word_length,noise,3,8,2.0,48000
i2s_wrong_word_length__payload-noise__rep-3__os-10.wav,wrong_word_length,noise,3,10,2.0,48000
i2s_wrong_word_length__payload-noise__rep-4__os-2.wav,wrong_word_length,noise,4,2,2.0,48000
i2s_wrong_word_length__payload-noise__rep-4__os-4.wav,wrong_word_length,noise,4,4,2.0,48000
